iter	RMSE
0	0.8314211595
1	0.8147687094
2	0.8059390829
3	0.7900403381
4	0.7745857437
5	0.7595065185
6	0.7588106652
7	0.7413895589
8	0.7272207771
9	0.718896085
10	0.7055458753
11	0.6993727952
12	0.6946014874
13	0.6810533652
14	0.6742026142
15	0.6591956248
16	0.6446415295
17	0.6385543137
18	0.6265774874
19	0.6238574897
20	0.6130658506
21	0.6075465217
22	0.5973014416
23	0.5904943237
24	0.5806662128
25	0.5779430083
26	0.5683952381
27	0.5565190898
28	0.5564801119
29	0.5449743706
30	0.5407103237
31	0.5383978143
32	0.5380077263
33	0.5357153564
34	0.5302558577
35	0.5257715725
36	0.5203660818
37	0.5200136755
38	0.5117009807
39	0.5108360417
40	0.5027283397
41	0.4950158617
42	0.494616509
43	0.4944355442
44	0.4891007561
45	0.484525115
46	0.4771982755
47	0.4767611874
48	0.4765097905
49	0.4688971999
50	0.4672686424
51	0.4626511652
52	0.4562480477
53	0.4500862429
54	0.4490514409
55	0.4440148251
56	0.4437362807
57	0.4374412317
58	0.4294699149
59	0.4239222846
60	0.4236166982
61	0.4160913905
62	0.4142752502
63	0.4140645856
64	0.4111691572
65	0.4110412009
66	0.4092467562
67	0.4059923209
68	0.4010792253
69	0.3946925842
70	0.3901402421
71	0.3886549644
72	0.3870531318
73	0.3859841329
74	0.3855368622
75	0.384232453
76	0.3833207863
77	0.3783327009
78	0.3781535351
79	0.3780571829
80	0.3779619261
81	0.376785025
82	0.3756443193
83	0.3708542981
84	0.3700007743
85	0.3658289501
86	0.3618189993
87	0.3607517177
88	0.3553604775
89	0.3511867773
90	0.3508155914
91	0.3496845191
92	0.349543167
93	0.3484342738
94	0.3482685257
95	0.3472574112
96	0.3445463957
97	0.3401368042
98	0.3398981704
99	0.3365735712
100	0.3348059769
101	0.3322846406
102	0.3313907165
103	0.3287123667
104	0.326206877
105	0.3257480686
106	0.3221149873
107	0.3211296153
108	0.3186988372
109	0.3185369988
110	0.3180933649
111	0.3178809312
112	0.31733805
113	0.3170965083
114	0.3169743201
115	0.3153929098
116	0.3144003763
117	0.3136105436
118	0.3127142575
119	0.311608997
120	0.3108030615
121	0.3106849416
122	0.3097601693
123	0.3090636781
124	0.3078278132
125	0.3072589912
126	0.3061174396
127	0.303894979
128	0.3035829975
129	0.3025280185
130	0.2997666062
131	0.2991739312
132	0.2983079883
133	0.2977464257
134	0.2970067045
135	0.2961229278
136	0.2933963065
137	0.2926181947
138	0.2899483888
139	0.2892219142
140	0.2884792887
141	0.2849919046
142	0.2844033669
143	0.2837315682
144	0.2833387807
145	0.2808300878
146	0.2802622978
147	0.2796587944
148	0.2791697501
149	0.2786159933
150	0.2761306088
151	0.2737612035
152	0.2713720585
153	0.2708606079
154	0.2703684663
155	0.2699059819
156	0.2694713944
157	0.2691348487
158	0.2668627929
159	0.2646457745
160	0.2643326038
161	0.2639404915
162	0.2635275471
163	0.2612744475
164	0.2608810227
165	0.2604581962
166	0.2582243935
167	0.2578947213
168	0.2575676864
169	0.2554147781
170	0.2551073381
171	0.2530440611
172	0.2526948557
173	0.2522915951
174	0.2519240208
175	0.2498185961
176	0.2494500792
177	0.2474020638
178	0.2453908237
179	0.243427578
180	0.24152302
181	0.2396208409
182	0.2377957521
183	0.2359746149
184	0.2341779024
185	0.2324220639
186	0.2307094351
187	0.2290266259
188	0.2273844408
189	0.225755828
190	0.2241725788
191	0.2226269165
192	0.2199667964
193	0.2184024805
194	0.2158710053
195	0.2143908151
196	0.2129565916
197	0.2105468656
198	0.2091453011
199	0.2077830821
200	0.2054619754
201	0.2041176275
202	0.2028252695
203	0.2015425128
204	0.1993658158
205	0.1980609042
206	0.196842471
207	0.1947558504
208	0.1935592184
209	0.1923957278
210	0.1912565932
211	0.1892688985
212	0.1881711827
213	0.1870761452
214	0.1851438062
215	0.1840800459
216	0.1822837227
217	0.1812592874
218	0.1801991544
219	0.1792230628
220	0.1775241994
221	0.1765681547
222	0.1748824884
223	0.1739549926
224	0.1730440573
225	0.1721407521
226	0.1705971592
227	0.1697397239
228	0.1682218336
229	0.1678803801
230	0.1675239397
231	0.1672431242
232	0.1663990743
233	0.1655815616
234	0.1647674318
235	0.1645214278
236	0.1631359738
237	0.162866945
238	0.16260456
239	0.1618179152
240	0.1610041259
241	0.160796369
242	0.1605900392
243	0.1602825105
244	0.1600299353
245	0.1597827351
246	0.1595846013
247	0.1582642256
248	0.1579774975
249	0.1577822995
250	0.157561403
251	0.1573528949
252	0.1571592128
253	0.156926501
254	0.1566542003
255	0.1564324506
256	0.1562488625
257	0.1560676199
258	0.1558786279
259	0.1557100534
260	0.1554075607
261	0.1552001179
262	0.1550166119
263	0.1547576845
264	0.1545791245
265	0.154395375
266	0.1541608425
267	0.1540044496
268	0.1537265105
269	0.1535728085
270	0.1533628572
271	0.1531802304
272	0.1529772179
273	0.152807632
274	0.1526596272
275	0.1525004472
276	0.1523389889
277	0.1521686608
278	0.1519417611
279	0.1506241146
280	0.1504604127
281	0.1502723712
282	0.1501281757
283	0.1499676807
284	0.1498022803
285	0.1496141559
286	0.1494346662
287	0.1492565767
288	0.1491024366
289	0.1489091762
290	0.1486717675
291	0.1485204574
292	0.1477783518
293	0.1470526877
294	0.1458549825
295	0.145710667
296	0.1455287694
297	0.1448272275
298	0.1441472646
299	0.143012206
300	0.1428056528
301	0.1426546529
302	0.1424579913
303	0.1423173577
304	0.1421874464
305	0.1420448907
306	0.1419003172
307	0.1417581449
308	0.1415987277
309	0.141436479
310	0.1407720951
311	0.140086801
312	0.1394565538
313	0.1383942302
314	0.138250395
315	0.1381131649
316	0.1375039975
317	0.1369013997
318	0.1358642073
319	0.1357253097
320	0.1355884084
321	0.1354562414
322	0.1353269313
323	0.1351385031
324	0.1345609582
325	0.1339956071
326	0.1330350153
327	0.1328732027
328	0.1327460155
329	0.1326187556
330	0.1320728503
331	0.1315384737
332	0.1306424357
333	0.1305037544
334	0.1303616943
335	0.1301853101
336	0.1300543963
337	0.1299226805
338	0.1298015141
339	0.1296863825
340	0.1295131655
341	0.1293779952
342	0.1292594232
343	0.1290933227
344	0.1289317552
345	0.1288121453
346	0.1286854666
347	0.1285388116
348	0.128417404
349	0.12830676
350	0.1281889279
351	0.1280346075
352	0.12788358
353	0.1277641155
354	0.1276517151
355	0.1275421579
356	0.1274324226
357	0.1272913059
358	0.1271699957
359	0.127025466
360	0.1269197908
361	0.1267976899
362	0.126666107
363	0.1265507557
364	0.1264396181
365	0.1263430621
366	0.1262324638
367	0.1260968502
368	0.125982158
369	0.1258578683
370	0.1257643662
371	0.1256613539
372	0.1255584167
373	0.1254327246
374	0.1253318333
375	0.1251947884
376	0.1246655914
377	0.1241528162
378	0.1232985831
379	0.1232096366
380	0.12310906
381	0.1229959952
382	0.1228891599
383	0.122763357
384	0.1226626956
385	0.1225274951
386	0.1224292074
387	0.1223347256
388	0.1222006788
389	0.1221078094
390	0.1220117987
391	0.1219052847
392	0.1218167693
393	0.1217243935
394	0.121631424
395	0.1215430307
396	0.1214292592
397	0.1213377282
398	0.1212469111
399	0.1211548326
400	0.1210702319
401	0.1209574055
402	0.1208338729
403	0.1207409376
404	0.1206555904
405	0.1205663139
406	0.1204731028
407	0.120386291
408	0.1202784039
409	0.1201933801
410	0.1201034898
411	0.1200254575
412	0.1199285693
413	0.1198399883
414	0.1197599862
415	0.1196690414
416	0.1195846017
417	0.1195075344
418	0.1194122554
419	0.1193305972
420	0.1192312402
421	0.1191558751
422	0.1190587895
423	0.1189827901
424	0.1188850427
425	0.1188097703
426	0.1187317928
427	0.1186577649
428	0.1185689047
429	0.1184513216
430	0.1183536419
431	0.1178353093
432	0.1173460537
433	0.1168719412
434	0.1160934452
435	0.1160125335
436	0.1159381084
437	0.1154881835
438	0.1150406335
439	0.1142976944
440	0.1142362208
441	0.1141860975
442	0.1140966502
443	0.1140068965
444	0.1139372104
445	0.1138631898
446	0.1138096712
447	0.1137169019
448	0.1136482793
449	0.1135744476
450	0.1134842636
451	0.113410092
452	0.1133619872
453	0.1132674192
454	0.1131890075
455	0.1130852065
456	0.1130343129
457	0.1129384566
458	0.1128661273
459	0.1127956428
460	0.1127072228
461	0.1126378713
462	0.1125561289
463	0.1125008468
464	0.1124200955
465	0.1123253004
466	0.1122483325
467	0.1121505692
468	0.1120696765
469	0.1119995124
470	0.1119375731
471	0.1118854373
472	0.1118218517
473	0.1117586882
474	0.111710482
475	0.1116345965
476	0.1115536754
477	0.1114769892
478	0.1114151849
479	0.1113484862
480	0.1112477009
481	0.1111805855
482	0.111115578
483	0.1110426832
484	0.1109737236
485	0.1108986663
486	0.1108494328
487	0.1107893393
488	0.1107407112
489	0.1106815044
490	0.1106172014
491	0.110542184
492	0.1104711441
493	0.1104198601
494	0.1103569352
495	0.1102993342
496	0.110252805
497	0.1101827578
498	0.1101126927
499	0.1100438961
500	0.1099633512
501	0.109886652
502	0.1098291372
503	0.1097665373
504	0.1096977921
505	0.1096280022
506	0.1095540883
507	0.109495477
508	0.109432163
509	0.1093870013
510	0.1093048279
511	0.1092393107
512	0.1091752306
513	0.109143775
514	0.1090820605
515	0.1086270093
516	0.1079145464
517	0.1078185507
518	0.1077615421
519	0.1076683733
520	0.1075952823
521	0.1071711137
522	0.1067600784
523	0.1063621503
524	0.1057219068
525	0.1056752215
526	0.1056375686
527	0.1055871088
528	0.105525711
529	0.1054716465
530	0.1054065995
531	0.1053410643
532	0.1052797845
533	0.1052105166
534	0.1051572397
535	0.1050994718
536	0.1050363078
537	0.1049780243
538	0.1049057226
539	0.1048490607
540	0.1047975885
541	0.1047352838
542	0.1046808245
543	0.1044891152
544	0.1044204988
545	0.1043533359
546	0.1042999071
547	0.1042766985
548	0.1042222821
549	0.1041682574
550	0.1041182681
551	0.1040546102
552	0.1039735102
553	0.1039205292
554	0.1038691873
555	0.1038086334
556	0.103785879
557	0.1037366931
558	0.1036862958
559	0.1036320353
560	0.1035905661
561	0.103531178
562	0.1034764959
563	0.1034162466
564	0.10335324
565	0.1032954752
566	0.1032425921
567	0.1032034856
568	0.1031521215
569	0.103130389
570	0.1030526736
571	0.1029680613
572	0.102908085
573	0.1028498007
574	0.102799399
575	0.1027556912
576	0.1027165753
577	0.1026552017
578	0.1025931965
579	0.1025484587
580	0.102498039
581	0.1024510013
582	0.1024056019
583	0.1023847103
584	0.102339678
585	0.1022820084
586	0.1022297239
587	0.1021839021
588	0.1021355528
589	0.102099167
590	0.1020406302
591	0.1020204483
592	0.1019707576
593	0.1019184516
594	0.1018400629
595	0.1017805799
596	0.1011296425
597	0.101077646
598	0.1010371863
599	0.1009841291
600	0.100937384
601	0.1009176207
602	0.100862516
603	0.1008079813
604	0.1007384316
605	0.100672015
606	0.1006275812
607	0.1005820744
608	0.1005091112
609	0.1004749249
610	0.1004326832
611	0.1003779289
612	0.100318479
613	0.1002701738
614	0.1002253892
615	0.100193714
616	0.1001547255
617	0.1001039864
618	0.100060955
619	0.1000243592
620	0.09998389861
621	0.09992711451
622	0.09989082231
623	0.09983358165
624	0.0997944008
625	0.09975808775
626	0.09973967027
627	0.09969423943
628	0.09964673538
629	0.09961173727
630	0.09957033583
631	0.09952004381
632	0.09946665787
633	0.09938918417
634	0.09898368921
635	0.09858985011
636	0.0979782931
637	0.09759955043
638	0.09723428964
639	0.09665816223
640	0.09661268638
641	0.09655872729
642	0.09647200545
643	0.09642076483
644	0.09639082835
645	0.0963247841
646	0.0962895532
647	0.09623617104
648	0.09620484189
649	0.09614311823
650	0.09609784741
651	0.09605518344
652	0.09601412214
653	0.09597674955
654	0.09593567229
655	0.09589914572
656	0.0958666617
657	0.09583727779
658	0.09579342052
659	0.09575819329
660	0.09571847761
661	0.09568631242
662	0.09563229477
663	0.09559022831
664	0.09554591059
665	0.09548363676
666	0.09543214928
667	0.0953966974
668	0.09535010165
669	0.0952989208
670	0.0952665252
671	0.0952151968
672	0.09518879321
673	0.09507201253
674	0.09501498252
675	0.09496850169
676	0.09494066263
677	0.09489077937
678	0.09484962073
679	0.09477034679
680	0.0947290691
681	0.09470770285
682	0.09465606391
683	0.09446313742
684	0.09442241688
685	0.09423811428
686	0.09421033358
687	0.09418602898
688	0.0941413346
689	0.09396509343
690	0.09392255745
691	0.09389254478
692	0.09386823366
693	0.09369955043
694	0.09365267653
695	0.09360402587
696	0.09354239502
697	0.09349832136
698	0.09344447822
699	0.09340405877
700	0.0933668878
701	0.09333206588
702	0.09329953385
703	0.09326348715
704	0.09323366095
705	0.09320349749
706	0.09316955316
707	0.09313833895
708	0.09310272942
709	0.09307113171
710	0.09304256203
711	0.09300802944
712	0.09298086235
713	0.09294197779
714	0.09290108395
715	0.09286578956
716	0.0928377065
717	0.09280715493
718	0.09279213928
719	0.09275906795
720	0.09270005088
721	0.09265829909
722	0.0926216797
723	0.09259292436
724	0.09256645499
725	0.09253413214
726	0.09250790949
727	0.09247796597
728	0.09245124723
729	0.09240553191
730	0.09236850096
731	0.09234345512
732	0.0923049717
733	0.09226534745
734	0.09222916705
735	0.09218900597
736	0.09216294942
737	0.09214058238
738	0.09212615554
739	0.09209544536
740	0.09207137278
741	0.0920436746
742	0.09202014198
743	0.0919910967
744	0.09196723334
745	0.09191639916
746	0.09185906412
747	0.09175148243
748	0.09171627913
749	0.09168578544
750	0.09166105901
751	0.09163614822
752	0.0915940443
753	0.09157396862
754	0.09155316712
755	0.09152883488
756	0.09136187155
757	0.09132505682
758	0.09129122887
759	0.09124337252
760	0.09120828836
761	0.09117705865
762	0.09114852432
763	0.09110216989
764	0.09107126731
765	0.09104514603
766	0.09102242256
767	0.09097808907
768	0.09093877309
769	0.09090313842
770	0.09086818349
771	0.09084215959
772	0.0907974619
773	0.09077248325
774	0.09073890829
775	0.09071425517
776	0.0907001977
777	0.090673429
778	0.09063841904
779	0.090613731
780	0.0905728884
781	0.09053610782
782	0.09050639406
783	0.09048322969
784	0.09047032675
785	0.0904478613
786	0.09042184644
787	0.09040049087
788	0.09037693917
789	0.09034767803
790	0.0903242968
791	0.09030104141
792	0.09024730305
793	0.09020964195
794	0.0901781971
795	0.09011845062
796	0.09009148609
797	0.09004329876
798	0.09000209262
799	0.08996274736
800	0.08993239994
801	0.08989356155
802	0.08986109531
803	0.08984042965
804	0.08982245512
805	0.0898018712
806	0.08976234184
807	0.08969099109
808	0.08964924091
809	0.08961038675
810	0.08954510725
811	0.08952533297
812	0.08948406685
813	0.08945284457
814	0.08942555913
815	0.08939790192
816	0.08937058194
817	0.089344399
818	0.08932486694
819	0.08929264176
820	0.08926961977
821	0.08924982838
822	0.08923800596
823	0.08920014382
824	0.08916153079
825	0.08912616634
826	0.08908984398
827	0.08904532995
828	0.08900714079
829	0.08897775437
830	0.0889481058
831	0.08892331362
832	0.08888367373
833	0.088858054
834	0.08882637286
835	0.08879474796
836	0.0887645154
837	0.0887409365
838	0.08871650808
839	0.08869734703
840	0.08867593775
841	0.08864828881
842	0.08863355332
843	0.08860031091
844	0.08857698585
845	0.08854362863
846	0.08852369863
847	0.08849825807
848	0.08847794676
849	0.08845609239
850	0.08842122283
851	0.08838382548
852	0.08779482089
853	0.0877662068
854	0.08773778348
855	0.08771997953
856	0.08767788043
857	0.08760015437
858	0.08757572689
859	0.08740316719
860	0.08738250844
861	0.08735655526
862	0.08734230399
863	0.08730610472
864	0.08728099513
865	0.08725155216
866	0.08722930022
867	0.08720115544
868	0.08716854454
869	0.08713079768
870	0.08708340317
871	0.08705008934
872	0.08701699536
873	0.08698562586
874	0.08694980313
875	0.08691787249
876	0.0868860592
877	0.08686619821
878	0.08683586848
879	0.08680160806
880	0.08676410571
881	0.08673665328
882	0.0867048089
883	0.08666842198
884	0.08663772443
885	0.08661328375
886	0.08659252133
887	0.08657459692
888	0.08654684996
889	0.0865121961
890	0.08648747567
891	0.08646239408
892	0.08643278492
893	0.08639686912
894	0.08636221707
895	0.08633835334
896	0.08631884088
897	0.08628754171
898	0.08627014739
899	0.08624910946
900	0.08622113706
901	0.08618442411
902	0.08561334595
903	0.08558094253
904	0.08554829147
905	0.08552802156
906	0.08551085968
907	0.08548296444
908	0.08545906275
909	0.08543990538
910	0.08542157661
911	0.08540464398
912	0.08485467315
913	0.08482210881
914	0.08479084667
915	0.08476508145
916	0.08473762529
917	0.08470317168
918	0.08467334473
919	0.08465457968
920	0.08462909726
921	0.08460701845
922	0.08459636304
923	0.08457808736
924	0.08454846721
925	0.08452725227
926	0.08450868902
927	0.0844772025
928	0.08444836229
929	0.08442684706
930	0.08439322318
931	0.08437113426
932	0.08434969229
933	0.08432756453
934	0.08430920595
935	0.08429279423
936	0.08427578289
937	0.08426088649
938	0.08424302018
939	0.08422150365
940	0.08419354983
941	0.08417268487
942	0.0841550046
943	0.08413820675
944	0.08411272392
945	0.08409206663
946	0.08405838602
947	0.08404832635
948	0.08402756077
949	0.08400100781
950	0.08382399655
951	0.08365481613
952	0.08362990889
953	0.083599539
954	0.08358457778
955	0.08356524056
956	0.08354310027
957	0.08338106059
958	0.0832260972
959	0.08320915978
960	0.08319347257
961	0.08304509913
962	0.08302091932
963	0.08299275935
964	0.08294822144
965	0.08291865892
966	0.08288911994
967	0.0828609078
968	0.08281204145
969	0.08278915874
970	0.08277521103
971	0.08274584285
972	0.08271796018
973	0.08269293315
974	0.08266766043
975	0.08264462208
976	0.08261647407
977	0.08260118799
978	0.08245502889
979	0.08231517103
980	0.082181302
981	0.0821540962
982	0.08213801475
983	0.08211846779
984	0.08210309068
985	0.08207839275
986	0.08204573835
987	0.08190417291
988	0.08187679634
989	0.08185194435
990	0.08172069238
991	0.08169535133
992	0.08167547181
993	0.08163414615
