iter	Passed	Remaining
0	0	826
1	0	745
2	0	736
3	0	754
4	0	709
5	0	744
6	1	758
7	1	751
8	1	742
9	1	725
10	1	705
11	1	736
12	2	778
13	2	788
14	2	789
15	2	795
16	2	779
17	2	774
18	2	762
19	3	748
20	3	750
21	3	750
22	3	741
23	3	767
24	3	757
25	3	761
26	4	756
27	4	761
28	4	759
29	4	757
30	4	751
31	4	741
32	4	741
33	5	743
34	5	747
35	5	742
36	5	740
37	5	738
38	5	732
39	5	728
40	5	725
41	6	722
42	6	720
43	6	716
44	6	712
45	6	714
46	6	713
47	6	712
48	7	712
49	7	710
50	7	704
51	7	700
52	7	699
53	7	693
54	7	692
55	7	693
56	8	698
57	8	698
58	8	696
59	8	700
60	8	699
61	8	696
62	8	696
63	9	695
64	9	691
65	9	688
66	9	690
67	9	686
68	9	686
69	9	685
70	9	683
71	9	681
72	10	680
73	10	678
74	10	675
75	10	674
76	10	676
77	10	684
78	11	687
79	11	684
80	11	683
81	11	682
82	11	680
83	11	679
84	11	678
85	11	679
86	12	681
87	12	681
88	12	681
89	12	681
90	12	681
91	12	679
92	12	676
93	12	675
94	13	675
95	13	672
96	13	673
97	13	671
98	13	670
99	13	668
100	13	665
101	13	664
102	13	663
103	14	661
104	14	660
105	14	659
106	14	658
107	14	656
108	14	657
109	14	656
110	14	654
111	14	653
112	15	652
113	15	651
114	15	653
115	15	652
116	15	651
117	15	650
118	15	650
119	16	651
120	16	649
121	16	647
122	16	646
123	16	651
124	16	651
125	16	650
126	16	650
127	17	649
128	17	650
129	17	649
130	17	648
131	17	648
132	17	647
133	17	647
134	17	646
135	18	646
136	18	650
137	18	649
138	18	647
139	18	646
140	18	646
141	18	645
142	18	643
143	19	642
144	19	642
145	19	641
146	19	641
147	19	641
148	19	640
149	19	638
150	19	639
151	20	639
152	20	638
153	20	637
154	20	638
155	20	639
156	20	638
157	20	637
158	20	636
159	21	636
160	21	638
161	21	638
162	21	638
163	21	637
164	21	637
165	21	636
166	22	637
167	22	637
168	22	639
169	22	638
170	22	638
171	22	639
172	23	642
173	23	641
174	23	643
175	23	645
176	23	646
177	23	644
178	23	644
179	24	644
180	24	644
181	24	643
182	24	644
183	24	649
184	24	649
185	25	648
186	25	648
187	25	647
188	25	646
189	25	646
190	25	645
191	25	644
192	25	644
193	25	643
194	26	642
195	26	642
196	26	643
197	26	644
198	26	645
199	26	645
200	27	644
201	27	643
202	27	643
203	27	642
204	27	643
205	27	643
206	27	643
207	27	643
208	28	642
209	28	643
210	28	643
211	28	642
212	28	641
213	28	641
214	28	641
215	28	640
216	29	640
217	29	641
218	29	641
219	29	644
220	29	644
221	29	643
222	30	643
223	30	642
224	30	642
225	30	641
226	30	643
227	30	644
228	30	644
229	31	643
230	31	642
231	31	642
232	31	642
233	31	641
234	31	641
235	31	641
236	31	641
237	32	642
238	32	641
239	32	643
240	32	642
241	32	642
242	32	642
243	32	641
244	33	641
245	33	642
246	33	642
247	33	641
248	33	641
249	33	640
250	33	639
251	34	640
252	34	641
253	34	640
254	34	643
255	34	643
256	34	643
257	35	647
258	35	646
259	35	647
260	35	646
261	35	647
262	35	646
263	36	646
264	36	648
265	36	647
266	36	646
267	36	646
268	36	645
269	36	644
270	37	646
271	37	645
272	37	645
273	37	644
274	37	645
275	37	645
276	37	645
277	37	644
278	38	643
279	38	643
280	38	642
281	38	642
282	38	641
283	38	641
284	38	640
285	38	640
286	38	639
287	39	639
288	39	640
289	39	640
290	39	640
291	39	639
292	39	638
293	39	638
294	40	639
295	40	638
296	40	638
297	40	638
298	40	637
299	40	637
300	40	638
301	41	638
302	41	639
303	41	639
304	41	639
305	41	639
306	41	640
307	41	639
308	42	639
309	42	638
310	42	638
311	42	638
312	42	638
313	42	637
314	42	638
315	43	637
316	43	637
317	43	638
318	43	638
319	43	638
320	43	638
321	44	640
322	44	639
323	44	640
324	44	641
325	44	640
326	44	640
327	45	641
328	45	640
329	45	639
330	45	640
331	45	639
332	45	639
333	45	642
334	46	642
335	46	642
336	46	642
337	46	641
338	46	641
339	46	641
340	46	641
341	47	640
342	47	640
343	47	640
344	47	640
345	47	640
346	47	640
347	47	640
348	48	640
349	48	639
350	48	643
351	48	643
352	48	643
353	49	643
354	49	643
355	49	644
